first_pokemon;second_pokemon;winner
Venomoth;Mandibuzz;Venomoth
Steelix;Rotom;Rotom
Spritzee;Shroomish;Shroomish
Larvesta;Lunatone;Lunatone
Mega Blastoise;Feebas;Feebas
Dratini;Abomasnow;Abomasnow
Amoonguss;Heracross;Heracross
Musharna;Ekans;Ekans
Drowzee;Litleo;Litleo
Darmanitan Standard Mode;Cloyster;Darmanitan Standard Mode
Timburr;Litleo;Litleo
Lileep;Girafarig;Girafarig
Garbodor;Walrein;Garbodor
Remoraid;Girafarig;Girafarig
Togetic;Drapion;Drapion
Mega Tyranitar;Hoopa Unbound;Hoopa Unbound
Magnemite;Houndour;Houndour
Pidove;Jolteon;Jolteon
Giratina Altered Forme;Tauros;Tauros
Stunfisk;Nosepass;Stunfisk
Shinx;Spearow;Spearow
Rayquaza;Grimer;Rayquaza
Luvdisc;Liepard;Liepard
Minccino;Slugma;Minccino
Venipede;Pineco;Pineco
Mega Gardevoir;Mega Charizard Y;Mega Charizard Y
Buizel;Medicham;Buizel
Ninjask;Gurdurr;Gurdurr
Kricketune;Aromatisse;Kricketune
Volcarona;Gyarados;Volcarona
Staravia;Avalugg;Staravia
Marill;Spoink;Spoink
Yanma;Beautifly;Yanma
Haunter;Tyrogue;Haunter
Pangoro;Clamperl;Pangoro
Rhyhorn;Xerneas;Xerneas
Staravia;Volcarona;Volcarona
Genesect;Forretress;Genesect
Nincada;Mismagius;Mismagius
Forretress;Mega Blastoise;Mega Blastoise
Shellder;Paras;Shellder
Froslass;Vileplume;Froslass
Jynx;Ampharos;Jynx
Lillipup;Poliwhirl;Poliwhirl
Chandelure;Vigoroth;Vigoroth
Ferrothorn;Igglybuff;Ferrothorn
Sandslash;Latias;Latias
Venomoth;Turtwig;Venomoth
Trapinch;Ledian;Trapinch
Dragonite;Trevenant;Dragonite
Gengar;63;Gengar
Mewtwo;Crustle;Mewtwo
Krabby;Wynaut;Krabby
Cobalion;Cherubi;Cobalion
Diancie;Taillow;Taillow
Mega Camerupt;Mesprit;Mesprit
Nincada;Mega Pidgeot;Mega Pidgeot
Exploud;Gourgeist Super Size;Gourgeist Super Size
Trubbish;Meloetta Pirouette Forme;Meloetta Pirouette Forme
Caterpie;Swalot;Swalot
Scyther;Blaziken;Scyther
Skarmory;Krabby;Skarmory
Hoothoot;Kyurem;Kyurem
Sealeo;Deino;Sealeo
Mega Charizard Y;Smoochum;Mega Charizard Y
Clauncher;Vulpix;Vulpix
Golett;Galvantula;Galvantula
Primal Kyogre;Natu;Primal Kyogre
Excadrill;Probopass;Excadrill
Bibarel;Prinplup;Bibarel
Gothita;Togekiss;Togekiss
Totodile;Tornadus Incarnate Forme;Tornadus Incarnate Forme
Samurott;Crawdaunt;Samurott
Sentret;Oddish;Oddish
Gallade;Gastrodon;Gallade
Machoke;Reshiram;Reshiram
Pachirisu;Mega Blastoise;Pachirisu
Skrelp;Finneon;Finneon
Magikarp;Genesect;Genesect
Dewgong;Cherubi;Dewgong
Klinklang;Ponyta;Ponyta
Scyther;Mega Gallade;Mega Gallade
Talonflame;Aromatisse;Talonflame
Purrloin;Cloyster;Cloyster
Teddiursa;Mega Aggron;Mega Aggron
Tirtouga;Flareon;Flareon
Fletchinder;Braixen;Fletchinder
Lickilicky;Aipom;Aipom
Gliscor;Mew;Mew
Durant;Shieldon;Durant
Natu;Pidgeotto;Pidgeotto
Hoppip;Vespiquen;Hoppip
Eelektross;Jirachi;Jirachi
Doduo;Glaceon;Doduo
Nidorina;Ledian;Ledian
Mothim;Claydol;Claydol
Porygon-Z;Mightyena;Porygon-Z
Regirock;Archen;Archen
Castform;Mega Aggron;Castform
Froakie;Doublade;Doublade
Duskull;Wailord;Wailord
Pupitar;  Scolipede  ;  Scolipede  
Togetic;Tepig;Tepig
Mega Heracross;Spearow;Mega Heracross
Wormadam Trash Cloak;Mega Sceptile;Mega Sceptile
Gogoat;Skuntank;Skuntank
Dustox;Stoutland;Stoutland
Vanillite;Pidgeot;Pidgeot
Surskit;Roselia;Roselia
Taillow;Volcarona;Volcarona
Mismagius;Lilligant;Mismagius
Tyrantrum;Minun;Minun
Mega Manectric;Swinub;Mega Manectric
Finneon;Breloom;Breloom
Diglett;Glalie;Diglett
Archeops;Poliwrath;Archeops
Nuzleaf;Mightyena;Mightyena
Raticate;Ivysaur;Raticate
Vigoroth;Trapinch;Vigoroth
Absol;Qwilfish;Qwilfish
Braviary;Phantump;Phantump
Panpour;Zoroark;Zoroark
Sandslash;Bibarel;Bibarel
Quilladin;Aipom;Aipom
Ekans;Cleffa;Ekans
Jigglypuff;Sylveon;Sylveon
Electivire;Carbink;Electivire
Ledian;Mega Houndoom;Mega Houndoom
Shellos;Trapinch;Shellos
Rufflet;Thundurus Incarnate Forme;Thundurus Incarnate Forme
Spinda;Electrike;Electrike
Wash Rotom;Spheal;Wash Rotom
Wormadam Sandy Cloak;Froakie;Froakie
Blaziken;Rayquaza;Rayquaza
Jumpluff;Combee;Jumpluff
Shedinja;Victini;Victini
Zubat;Regirock;Zubat
Dewott;  Farfetch'd  ;  Farfetch'd  
Ludicolo;Gastly;Gastly
Omastar;Riolu;Riolu
Frogadier;Barbaracle;Frogadier
Electrike;  Grotle  ;  Grotle  
Girafarig;Turtwig;Girafarig
Butterfree;Pansage;Butterfree
Mega Pinsir;Medicham;Mega Pinsir
Dragonair;Cherubi;Dragonair
Marowak;Vanilluxe;Vanilluxe
Alomomola;Dugtrio;Dugtrio
Sawsbuck;Tropius;Sawsbuck
Zekrom;Registeel;Zekrom
Entei;Krabby;Entei
Scatterbug;Feraligatr;Feraligatr
Chikorita;Dodrio;Dodrio
Mega Gallade;Terrakion;Mega Gallade
Infernape;Samurott;Infernape
Darumaka;Porygon;Darumaka
Silcoon;Gourgeist Small Size;Gourgeist Small Size
Dedenne;Chimchar;Dedenne
Elgyem;Lopunny;Lopunny
Psyduck;Aegislash Blade Forme;Aegislash Blade Forme
Hydreigon;Bibarel;Hydreigon
Mankey;Buneary;Buneary
Mega Diancie;Togepi;Mega Diancie
Sentret;Bonsly;Sentret
Psyduck;Boldore;Psyduck
Aegislash Shield Forme;Gible;Aegislash Shield Forme
Meloetta Aria Forme;Dunsparce;Meloetta Aria Forme
Seaking;Armaldo;Seaking
Ludicolo;Fan Rotom;Fan Rotom
Tyranitar;Darmanitan Standard Mode;Darmanitan Standard Mode
Heracross;Bisharp;Heracross
Porygon-Z;Virizion;Virizion
Bulbasaur;Breloom;Breloom
Mienfoo;Froakie;Froakie
Staraptor;Machop;Staraptor
Slugma;Combusken;Combusken
Lickitung;Delphox;Delphox
Cresselia;Gogoat;Cresselia
Dustox;Umbreon;Umbreon
Omanyte;Mime Jr.;Mime Jr.
Blissey;Camerupt;Blissey
Reshiram;Lumineon;Lumineon
Magcargo;Rhydon;Rhydon
Finneon;Wobbuffet;Finneon
Pidgeot;Mew;Pidgeot
Kingler;Kyurem Black Kyurem;Kyurem Black Kyurem
Mega Heracross;Tentacool;Mega Heracross
Masquerain;Nidorina;Masquerain
Elgyem;Cherubi;Cherubi
Goomy;Musharna;Goomy
Roggenrola;Gastly;Roggenrola
Magby;Wash Rotom;Wash Rotom
Caterpie;Drapion;Drapion
Mega Gengar;Garbodor;Mega Gengar
Pignite;Dodrio;Dodrio
Prinplup;Rhyperior;Prinplup
Mega Mawile;Aerodactyl;Aerodactyl
Vaporeon;Kingdra;Kingdra
Rotom;Castform;Castform
Kangaskhan;Noibat;Kangaskhan
Meowstic Female;Wurmple;Meowstic Female
Donphan;Ledyba;Ledyba
Fletchinder;Venonat;Fletchinder
Dragonair;Escavalier;Escavalier
Druddigon;Mega Altaria;Mega Altaria
Chimecho;Phantump;Chimecho
Aurorus;Throh;Aurorus
Torkoal;Glaceon;Torkoal
Mega Houndoom;Suicune;Mega Houndoom
Vanilluxe;Lampent;Vanilluxe
Dragonair;Joltik;Dragonair
Flaaffy;Clauncher;Flaaffy
Croagunk;Krookodile;Krookodile
Snivy;Sliggoo;Snivy
Linoone;Scizor;Linoone
Banette;Skorupi;Skorupi
Helioptile;Arcanine;Arcanine
Magmortar;Pansage;Magmortar
Mega Rayquaza;Malamar;Mega Rayquaza
Mega Abomasnow;Glameow;Mega Abomasnow
Stunfisk;Chespin;Chespin
Basculin;Sunflora;Basculin
Ledyba;Volcarona;Volcarona
Meloetta Aria Forme;Heat Rotom;Meloetta Aria Forme
Latios;Hitmonlee;Latios
Stoutland;Smeargle;Stoutland
Crawdaunt;Wash Rotom;Wash Rotom
Magikarp;Luvdisc;Luvdisc
Cacturne;Crawdaunt;Crawdaunt
Phantump;Ampharos;Ampharos
Swalot;Sandslash;Sandslash
Sawk;Growlithe;Sawk
Genesect;Mega Sceptile;Mega Sceptile
Fraxure;Grimer;Fraxure
Slowking;Golurk;Golurk
Misdreavus;Mega Scizor;Misdreavus
Tympole;Politoed;Politoed
Krabby;Larvitar;Krabby
Sunkern;Omastar;Omastar
Lucario;Leavanny;Leavanny
Mega Sableye;  Farfetch'd  ;  Farfetch'd  
Metapod;Tyrantrum;Tyrantrum
Hoopa Unbound;Mega Venusaur;Mega Venusaur
Corphish;Venonat;Venonat
Tentacruel;Terrakion;Terrakion
Diggersby;Pangoro;Diggersby
Misdreavus;Ninjask;Ninjask
Stunky;Cryogonal;Cryogonal
Corphish;Jolteon;Jolteon
Lairon;Wartortle;Wartortle
Shieldon;Lombre;Lombre
Froslass;Munna;Munna
Litwick;Beldum;Beldum
Venipede;Swadloon;Venipede
Mega Alakazam;Alakazam;Mega Alakazam
Breloom;Seedot;Breloom
Haxorus;Fennekin;Haxorus
Starmie;Porygon-Z;Starmie
Solrock;Stunky;Stunky
Aggron;Manectric;Manectric
Manaphy;Mega Banette;Manaphy
Purugly;Mega Glalie;Purugly
Krokorok;Hitmonchan;Hitmonchan
Corphish;Lapras;Lapras
Heatmor;Cofagrigus;Heatmor
Loudred;Flygon;Flygon
Heracross;Charmeleon;Heracross
Gulpin;Skrelp;Gulpin
Emboar;Throh;Emboar
Pumpkaboo Average Size;Bastiodon;Pumpkaboo Average Size
Phantump;Mega Medicham;Phantump
Wormadam Plant Cloak;Audino;Audino
Dedenne;Galvantula;Galvantula
Druddigon;Whiscash;Whiscash
Wormadam Plant Cloak;Corsola;Wormadam Plant Cloak
Torkoal;Gligar;Gligar
Paras;Nidoran♀;Nidoran♀
Xerneas;Hawlucha;Hawlucha
Manectric;Golem;Manectric
Bronzor;Dunsparce;Dunsparce
Phione;Pichu;Phione
Mega Gallade;Lumineon;Mega Gallade
Fraxure;Malamar;Malamar
Mismagius;Watchog;Watchog
Mamoswine;Meowstic Female;Meowstic Female
Mega Gallade;Joltik;Mega Gallade
Grumpig;Aipom;Aipom
Gogoat;Pyroar;Pyroar
Jolteon;Lairon;Jolteon
Gothorita;Fan Rotom;Fan Rotom
Dodrio;Gloom;Dodrio
Delibird;Slakoth;Delibird
Flabébé;Finneon;Finneon
Duosion;Delibird;Delibird
Oddish;Unown;Unown
Meowstic Female;Talonflame;Talonflame
Clamperl;Exploud;Exploud
Gigalith;Frillish;Frillish
Cranidos;Dialga;Dialga
Tyrunt;Mega Gardevoir;Mega Gardevoir
Dwebble;Druddigon;Dwebble
Lillipup;Mega Houndoom;Mega Houndoom
Hoppip;Lilligant;Lilligant
Koffing;Landorus Therian Forme;Landorus Therian Forme
Spearow;Bellossom;Spearow
Blaziken;Raticate;Raticate
Lilligant;Wynaut;Lilligant
Mismagius;Slakoth;Slakoth
Igglybuff;Tentacruel;Tentacruel
Zorua;Deoxys Defense Forme;Zorua
Zweilous;Pansage;Pansage
Piplup;Shedinja;Shedinja
Mega Pidgeot;Crawdaunt;Mega Pidgeot
Relicanth;Venusaur;Venusaur
Vanillite;Whiscash;Whiscash
Togepi;Sewaddle;Sewaddle
Scatterbug;Abra;Scatterbug
Kyurem Black Kyurem;Wormadam Sandy Cloak;Kyurem Black Kyurem
Mega Abomasnow;Dugtrio;Mega Abomasnow
Wurmple;Gligar;Gligar
Mega Mewtwo X;Abomasnow;Mega Mewtwo X
Zekrom;Aromatisse;Aromatisse
Tympole;Piplup;Tympole
Spewpa;Pineco;Spewpa
Froslass;Goldeen;Goldeen
Machop;Pancham;Pancham
Dragonite;Seaking;Dragonite
Skuntank;Regice;Skuntank
Celebi;Volcanion;Celebi
Swellow;Vigoroth;Swellow
Cacturne;Chingling;Cacturne
Leafeon;Dwebble;Leafeon
Zoroark;Honedge;Honedge
Cranidos;Clauncher;Cranidos
Musharna;Banette;Banette
Mega Gardevoir;Lairon;Mega Gardevoir
Chinchou;Honedge;Chinchou
Primal Kyogre;Feraligatr;Primal Kyogre
Malamar;Stunfisk;Malamar
Spinda;Mega Pidgeot;Mega Pidgeot
Illumise;Ampharos;Illumise
Jynx;Ivysaur;Jynx
Sliggoo;Petilil;Sliggoo
Darmanitan Standard Mode;Mime Jr.;Darmanitan Standard Mode
Quilava;Hitmontop;Quilava
Xatu;Dewgong;Xatu
Oddish;Mega Heracross;Mega Heracross
Serperior;Eevee;Serperior
Anorith;Oddish;Anorith
Exeggcute;Pidgeotto;Pidgeotto
Landorus Incarnate Forme;Zorua;Landorus Incarnate Forme
Drilbur;Elekid;Drilbur
Pidgeotto;Eevee;Pidgeotto
Krokorok;Absol;Absol
Vivillon;Chansey;Vivillon
Tauros;Marshtomp;Tauros
Cleffa;Mega Venusaur;Mega Venusaur
Gothitelle;Ledyba;Gothitelle
Kyurem White Kyurem;Braviary;Kyurem White Kyurem
Venusaur;Hippowdon;Venusaur
Gourgeist Small Size;Moltres;Gourgeist Small Size
Klink;Chandelure;Chandelure
Keldeo Ordinary Forme;Combee;Keldeo Ordinary Forme
Scyther;Skiddo;Scyther
Gourgeist Super Size;Electabuzz;Electabuzz
Ledyba;Heat Rotom;Heat Rotom
Suicune;Geodude;Suicune
Conkeldurr;Golbat;Golbat
Vileplume;Grumpig;Grumpig
Cryogonal;Vaporeon;Cryogonal
Mega Blastoise;Rapidash;Rapidash
Seviper;Kyurem;Kyurem
Toxicroak;Raichu;Raichu
Sandslash;Mienshao;Mienshao
Spritzee;Shuckle;Spritzee
Reuniclus;Remoraid;Remoraid
Croconaw;Parasect;Croconaw
Xatu;Ninetales;Ninetales
Crobat;Chatot;Crobat
Shaymin Land Forme;Sigilyph;Shaymin Land Forme
Drowzee;Swanna;Swanna
  Grotle  ;Donphan;Donphan
Dewott;Swinub;Dewott
Forretress;Ludicolo;Ludicolo
Sawk;Wash Rotom;Wash Rotom
Joltik;Abra;Abra
Vanillite;Mega Gengar;Mega Gengar
Sudowoodo;Mega Sceptile;Mega Sceptile
Jynx;Dewott;Jynx
Tentacruel;Spinda;Tentacruel
Snover;Swalot;Swalot
Grimer;Garbodor;Garbodor
Stunfisk;Snivy;Snivy
Kakuna;Slaking;Slaking
Turtwig;Piloswine;Piloswine
Roggenrola;Unfezant;Unfezant
Wormadam Sandy Cloak;Kadabra;Wormadam Sandy Cloak
Nuzleaf;Prinplup;Nuzleaf
Raticate;Palpitoad;Raticate
Piplup;Hawlucha;Hawlucha
Probopass;Larvitar;Larvitar
Mega Garchomp;Nidoking;Mega Garchomp
Tangela;Deoxys Normal Forme;Deoxys Normal Forme
Dragonite;Sliggoo;Dragonite
Zoroark;Trevenant;Zoroark
Mega Latios;Vileplume;Mega Latios
Petilil;Lunatone;Lunatone
Weavile;Articuno;Weavile
Cacturne;Poliwrath;Poliwrath
Pachirisu;Simisage;Simisage
Lilligant;Exeggutor;Lilligant
Ampharos;Trapinch;Trapinch
Chesnaught;Turtwig;Chesnaught
Swalot;Ferrothorn;Swalot
Genesect;Wurmple;Genesect
Zigzagoon;Fraxure;Fraxure
Dialga;Carracosta;Dialga
Regigigas;Psyduck;Regigigas
Swirlix;Wooper;Swirlix
Cloyster;Eelektrik;Cloyster
Whiscash;Aron;Whiscash
Gardevoir;Ekans;Gardevoir
Marill;Zekrom;Zekrom
Zubat;Pinsir;Pinsir
Skarmory;Frogadier;Frogadier
Wailmer;Fraxure;Fraxure
Aurorus;Mandibuzz;Mandibuzz
Ludicolo;Anorith;Anorith
Archen;Burmy;Archen
Purugly;Mega Houndoom;Mega Houndoom
Sigilyph;Mega Sharpedo;Mega Sharpedo
Mega Steelix;Darumaka;Darumaka
Mega Ampharos;Furret;Furret
Bunnelby;Raikou;Raikou
Moltres;Fearow;Fearow
Skitty;Kadabra;Kadabra
Tornadus Therian Forme;Mega Blaziken;Tornadus Therian Forme
Galvantula;Woobat;Galvantula
Weezing;Volcarona;Volcarona
Sawk;Meloetta Pirouette Forme;Meloetta Pirouette Forme
Cubone;Slurpuff;Slurpuff
Glalie;Pumpkaboo Super Size;Glalie
Huntail;Oddish;Huntail
Spearow;Mega Lucario;Mega Lucario
Sunflora;Latios;Latios
Wailmer;Ludicolo;Ludicolo
Gloom;Charmeleon;Charmeleon
Gorebyss;Gloom;Gorebyss
Ho-oh;Woobat;Ho-oh
Mega Aerodactyl;Hoopa Unbound;Mega Aerodactyl
Feraligatr;Quilladin;Feraligatr
DeoxysAttack Forme;Ninetales;DeoxysAttack Forme
Swadloon;Furret;Furret
Swoobat;Huntail;Swoobat
Regigigas;Munchlax;Regigigas
Bulbasaur;Heat Rotom;Heat Rotom
Snorlax;Zekrom;Zekrom
Donphan;Gabite;Gabite
Shuckle;Zorua;Zorua
Beedrill;Roggenrola;Beedrill
Gourgeist Average Size;Armaldo;Gourgeist Average Size
Kirlia;Marill;Kirlia
Frogadier;Charmeleon;Frogadier
Castform;  Farfetch'd  ;Castform
Cacturne;Kakuna;Cacturne
Remoraid;Alomomola;Alomomola
Hippopotas;Pancham;Pancham
Kadabra;Seismitoad;Kadabra
Gothita;Marshtomp;Marshtomp
Altaria;Reshiram;Reshiram
Houndoom;Finneon;Houndoom
Aegislash Shield Forme;Xatu;Xatu
Zygarde Half Forme;Glalie;Zygarde Half Forme
Volcanion;Haunter;Haunter
Conkeldurr;Bibarel;Bibarel
Makuhita;Carracosta;Carracosta
Stunky;Staraptor;Staraptor
Cradily;Phantump;Cradily
Glameow;Espeon;Espeon
Marill;Machamp;Machamp
Honedge;Manectric;Manectric
Tauros;Gourgeist Super Size;Gourgeist Super Size
Zigzagoon;Raticate;Raticate
Vullaby;Cobalion;Cobalion
Zoroark;Manectric;Manectric
Nidoqueen;Gourgeist Super Size;Nidoqueen
Hoothoot;Swanna;Swanna
Spinda;Linoone;Linoone
Mime Jr.;Leafeon;Leafeon
Armaldo;Fraxure;Fraxure
Mega Diancie;Lilligant;Mega Diancie
Doduo;Xerneas;Xerneas
Pumpkaboo Super Size;Tangela;Tangela
Omanyte;Cresselia;Cresselia
Grumpig;Duskull;Grumpig
Archeops;Skiddo;Archeops
Frost Rotom;Skiploom;Frost Rotom
Medicham;Glaceon;Medicham
Thundurus Incarnate Forme;Slakoth;Thundurus Incarnate Forme
Mothim;Shelgon;Mothim
Stoutland;Kyurem;Kyurem
Grumpig;63;63
Tropius;Beldum;Tropius
Piplup;Hoothoot;Hoothoot
Goldeen;Unfezant;Unfezant
Mega Metagross;Electrode;Electrode
Zigzagoon;Minun;Minun
Mega Houndoom;Vaporeon;Mega Houndoom
Minccino;Weezing;Minccino
Pidgeotto;Jolteon;Jolteon
Mewtwo;Houndour;Houndour
Mega Abomasnow;Walrein;Walrein
Kyurem Black Kyurem;Ho-oh;Kyurem Black Kyurem
Torchic;Vullaby;Vullaby
Electrode;Taillow;Electrode
Slowking;Quilava;Slowking
Swalot;Silcoon;Swalot
Mega Gyarados;Foongus;Mega Gyarados
Regigigas;Mega Camerupt;Regigigas
Weezing;Mightyena;Mightyena
Togepi;Pikachu;Pikachu
Chandelure;Raikou;Raikou
Virizion;Granbull;Virizion
Quilava;Vigoroth;Vigoroth
Galvantula;Aron;Galvantula
Poliwhirl;Shroomish;Poliwhirl
Skitty;Giratina Altered Forme;Giratina Altered Forme
Mawile;Ralts;Mawile
Seviper;Stoutland;Stoutland
Taillow;Muk;Taillow
Primal Kyogre;Mega Mewtwo X;Mega Mewtwo X
Pidgey;Lunatone;Lunatone
Axew;Fan Rotom;Fan Rotom
Sylveon;Archeops;Archeops
Wynaut;Kingler;Kingler
Mawile;Spritzee;Mawile
Groudon;Keldeo Resolute Forme;Keldeo Resolute Forme
Happiny;Swinub;Swinub
Magikarp;Grimer;Grimer
Arceus;Cinccino;Arceus
Treecko;Greninja;Greninja
Jumpluff;Regice;Jumpluff
Mega Rayquaza;Mesprit;Mega Rayquaza
Magmar;Nidorina;Magmar
Stunky;Wash Rotom;Wash Rotom
Tangrowth;Mega Garchomp;Mega Garchomp
Golduck;Diglett;Diglett
Chingling;Ludicolo;Ludicolo
Blaziken;Lileep;Blaziken
Primal Groudon;Throh;Primal Groudon
Regice;Igglybuff;Regice
Fennekin;Dratini;Fennekin
Seadra;Chimecho;Seadra
Ledian;Chinchou;Ledian
Cubone;Minun;Cubone
Mega Camerupt;Vivillon;Vivillon
Infernape;Rampardos;Infernape
Masquerain;Gothita;Masquerain
Prinplup;Wailord;Wailord
Zygarde Half Forme;Charmander;Zygarde Half Forme
Feraligatr;Mega Venusaur;Mega Venusaur
Marowak;Hippowdon;Hippowdon
Stunfisk;Watchog;Watchog
Tropius;Raticate;Raticate
Mega Gyarados;Flabébé;Mega Gyarados
Azurill;Minccino;Minccino
Lumineon;Magmar;Magmar
Electivire;Houndoom;Houndoom
Fletchinder;  Farfetch'd  ;Fletchinder
Klang;Omastar;Omastar
Roserade;Binacle;Roserade
Squirtle;Pikachu;Pikachu
Beartic;Kadabra;Beartic
Cryogonal;Panpour;Cryogonal
Charizard;Wynaut;Charizard
Probopass;Unown;Unown
Spewpa;Slugma;Spewpa
Murkrow;Cubchoo;Murkrow
Skrelp;Magnezone;Magnezone
Zubat;Bellossom;Zubat
Leavanny;Samurott;Leavanny
Skorupi;Nidorina;Skorupi
Rattata;Mega Blaziken;Mega Blaziken
Shroomish;Skiddo;Skiddo
Espeon;Mantyke;Espeon
Lunatone;Gurdurr;Gurdurr
Gligar;Zangoose;Zangoose
Starly;Jumpluff;Jumpluff
Ralts;Seel;Seel
Braixen;Mega Heracross;Mega Heracross
Mega Lucario;Koffing;Mega Lucario
Snover;Gigalith;Snover
Larvesta;Piloswine;Larvesta
Dustox;Noivern;Noivern
Gastly;Skarmory;Gastly
Tauros;Mamoswine;Tauros
Blissey;Nidorino;Nidorino
Lunatone;Ninetales;Ninetales
Litleo;Clamperl;Litleo
Aromatisse;Mega Scizor;Mega Scizor
Rhydon;Latios;Latios
Starmie;Noctowl;Starmie
Mega Lopunny;Pignite;Mega Lopunny
Mega Beedrill;Escavalier;Escavalier
Florges;Gible;Florges
Celebi;Regirock;Celebi
Sylveon;Starmie;Starmie
Shieldon;Zangoose;Zangoose
Mega Rayquaza;Pumpkaboo Super Size;Mega Rayquaza
Aerodactyl;Nidoran♂;Aerodactyl
Kingler;Drowzee;Kingler
Sealeo;Roggenrola;Sealeo
Kingdra;Squirtle;Kingdra
Golem;Swellow;Swellow
Lileep;Kakuna;Kakuna
Darkrai;Whismur;Darkrai
Kangaskhan;Diggersby;Kangaskhan
Gourgeist Small Size;Dragalge;Gourgeist Small Size
Meditite;Whimsicott;Whimsicott
Snorunt;Lumineon;Lumineon
Cresselia;Stoutland;Cresselia
Klink;Chansey;Klink
Raichu;Houndoom;Raichu
Metapod;Bellossom;Bellossom
Spewpa;Manectric;Manectric
Weedle;Dragonair;Dragonair
Anorith;Rayquaza;Rayquaza
Sableye;Swalot;Swalot
Lairon;Shroomish;Lairon
Metang;Umbreon;Umbreon
Anorith;Skorupi;Anorith
Thundurus Incarnate Forme;Mega Gallade;Thundurus Incarnate Forme
Grumpig;Tirtouga;Tirtouga
Hitmontop;Porygon2;Hitmontop
Gardevoir;Porygon2;Gardevoir
Haxorus;Liepard;Liepard
Heatmor;Pelipper;Pelipper
Fennekin;Combusken;Fennekin
Kyogre;Boldore;Kyogre
Electrike;Kirlia;Electrike
Machop;Persian;Persian
Rayquaza;Totodile;Rayquaza
Spritzee;Golbat;Golbat
Mega Metagross;Mega Absol;Mega Absol
Wooper;Furret;Furret
Persian;Starmie;Starmie
Talonflame;Nidoran♂;Talonflame
Hippowdon;Archeops;Archeops
Cherubi;Sliggoo;Sliggoo
Porygon2;Mega Ampharos;Porygon2
Aron;Larvesta;Larvesta
Serperior;Pikachu;Serperior
Shaymin Sky Forme;Golbat;Shaymin Sky Forme
Mega Manectric;Sceptile;Mega Manectric
Meditite;Sealeo;Meditite
Mandibuzz;Quagsire;Mandibuzz
Deoxys Speed Forme;Mewtwo;Deoxys Speed Forme
Metagross;Wormadam Plant Cloak;Metagross
Quagsire;Swanna;Swanna
Bronzor;Mega Manectric;Mega Manectric
Aegislash Shield Forme;Chimchar;Chimchar
Azumarill;Chingling;Azumarill
Vibrava;Conkeldurr;Vibrava
Mow Rotom;Quilladin;Mow Rotom
Purugly;Relicanth;Purugly
Pachirisu;Hypno;Pachirisu
Slowbro;Swablu;Swablu
Binacle;Tyrunt;Binacle
Yanmega;Ralts;Yanmega
Mega Houndoom;Hoopa Unbound;Mega Houndoom
Wobbuffet;Croconaw;Croconaw
Illumise;Talonflame;Talonflame
Taillow;Raikou;Raikou
Swampert;Luxray;Luxray
Boldore;Hitmontop;Hitmontop
Mega Lucario;Marill;Mega Lucario
Magnezone;Darkrai;Darkrai
Palpitoad;Dialga;Dialga
Nosepass;Slugma;Nosepass
Slurpuff;Mega Ampharos;Slurpuff
Machoke;Beheeyem;Machoke
Throh;Malamar;Malamar
Nidoking;Plusle;Plusle
Elekid;Mega Medicham;Mega Medicham
Snorunt;Seedot;Snorunt
Dusclops;Buizel;Buizel
Mega Mewtwo X;Haxorus;Mega Mewtwo X
Klefki;Deoxys Speed Forme;Deoxys Speed Forme
Nidoking;Omastar;Nidoking
Wartortle;Bonsly;Wartortle
Archen;Mega Rayquaza;Mega Rayquaza
Dewott;Onix;Onix
Dustox;Heatmor;Heatmor
Magby;Trubbish;Magby
Diglett;Metapod;Diglett
Staryu;Voltorb;Voltorb
Grovyle;Staraptor;Staraptor
Pidove;Throh;Throh
Clefable;Litwick;Clefable
Helioptile;Mega Lopunny;Mega Lopunny
Shellder;Azurill;Shellder
Sigilyph;Cyndaquil;Sigilyph
Swellow;Salamence;Swellow
Carbink;Cinccino;Cinccino
Porygon2;Rotom;Rotom
  Grotle  ;Xerneas;Xerneas
Illumise;Nidoking;Nidoking
Scizor;Vigoroth;Vigoroth
Anorith;Bibarel;Anorith
Zubat;Mew;Mew
Rhyhorn;Crustle;Crustle
Mega Pidgeot;Seedot;Mega Pidgeot
Leafeon;Barbaracle;Leafeon
Makuhita;DeoxysAttack Forme;DeoxysAttack Forme
Barboach;Lunatone;Lunatone
Sandslash;Granbull;Sandslash
Drifblim;Buizel;Buizel
Mesprit;Joltik;Mesprit
Beartic;Cascoon;Beartic
Buneary;Tornadus Therian Forme;Tornadus Therian Forme
Ninetales;Bronzor;Ninetales
Swalot;Magby;Magby
Staravia;Hoothoot;Staravia
Fennekin;Prinplup;Fennekin
Seedot;Entei;Entei
Snover;Grimer;Snover
Combusken;Spheal;Combusken
Spritzee;Karrablast;Karrablast
Wormadam Plant Cloak;Trubbish;Trubbish
Shellder;Cyndaquil;Cyndaquil
Sharpedo;Parasect;Sharpedo
Unfezant;Duskull;Duskull
Minccino;Chesnaught;Minccino
Gardevoir;Mega Manectric;Mega Manectric
Hydreigon;Shuckle;Hydreigon
Mega Glalie;Weezing;Mega Glalie
Scatterbug;Relicanth;Relicanth
Azurill;Seviper;Seviper
Electivire;Klink;Electivire
Klinklang;Surskit;Klinklang
Binacle;Charizard;Charizard
Spinarak;Rapidash;Rapidash
Electivire;Scraggy;Electivire
Roggenrola;Gothorita;Gothorita
